epoch,step,train_loss,val_loss
0,49,0.18988263607025146,
0,99,0.11998225748538971,
0,144,,0.12050905078649521
1,149,0.08591914921998978,
1,199,0.1368764042854309,
1,249,0.08850841969251633,
1,289,,0.1198289543390274
2,299,0.11473145335912704,
2,349,0.15415024757385254,
2,399,0.16311438381671906,
2,434,,0.11648210138082504
3,449,0.1172747015953064,
3,499,0.11429227888584137,
3,549,0.10984834283590317,
3,579,,0.11530324816703796
4,599,0.13386645913124084,
4,649,0.08189995586872101,
4,699,0.1168924942612648,
4,724,,0.11467064917087555
5,749,0.10307444632053375,
5,799,0.11618570238351822,
5,849,0.11267741769552231,
5,869,,0.11340206116437912
6,899,0.1166967898607254,
6,949,0.08251124620437622,
6,999,0.14191582798957825,
6,1014,,0.1140725240111351
7,1049,0.11669383198022842,
7,1099,0.10379550606012344,
7,1149,0.12301746010780334,
7,1159,,0.11225774884223938
8,1199,0.15416821837425232,
8,1249,0.09041236340999603,
8,1299,0.13460269570350647,
8,1304,,0.11270488798618317
9,1349,0.11997547745704651,
9,1399,0.12570692598819733,
9,1449,0.10012796521186829,
9,1449,,0.11269910633563995
10,1499,0.15853843092918396,
10,1549,0.09039998799562454,
10,1594,,0.11181944608688354
11,1599,0.14322935044765472,
11,1649,0.10992883145809174,
11,1699,0.08198247104883194,
11,1739,,0.11135298758745193
12,1749,0.11202701181173325,
12,1799,0.10985316336154938,
12,1849,0.10136473923921585,
12,1884,,0.11147890985012054
13,1899,0.09851648658514023,
13,1949,0.11141258478164673,
13,1999,0.12019944936037064,
13,2029,,0.11146287620067596
14,2049,0.1073698103427887,
14,2099,0.12021047621965408,
14,2149,0.1149926632642746,
14,2174,,0.1116112619638443
15,2199,0.12308885157108307,
15,2249,0.08362999558448792,
15,2299,0.08366066217422485,
15,2319,,0.11104787141084671
16,2349,0.10009253025054932,
16,2399,0.1222546249628067,
16,2449,0.10599707812070847,
16,2464,,0.11087886244058609
17,2499,0.14617539942264557,
17,2549,0.08892431855201721,
17,2599,0.11172953993082047,
17,2609,,0.11036759614944458
18,2649,0.07314841449260712,
18,2699,0.11511287838220596,
18,2749,0.11612134426832199,
18,2754,,0.11059186607599258
19,2799,0.14570893347263336,
19,2849,0.10228484869003296,
19,2899,0.063064806163311,
19,2899,,0.11098525673151016
20,2949,0.09603384137153625,
20,2999,0.07843712717294693,
20,3044,,0.1097889393568039
21,3049,0.09363001585006714,
21,3099,0.12753187119960785,
21,3149,0.11088529974222183,
21,3189,,0.1099652573466301
22,3199,0.08708019554615021,
22,3249,0.16411897540092468,
22,3299,0.10737143456935883,
22,3334,,0.10987670719623566
23,3349,0.11090695858001709,
23,3399,0.09931106120347977,
23,3449,0.13037529587745667,
23,3479,,0.10989554971456528
24,3499,0.09679289162158966,
24,3549,0.10121692717075348,
24,3599,0.10604038089513779,
24,3624,,0.1085583046078682
25,3649,0.10695741325616837,
25,3699,0.09309449791908264,
25,3749,0.10186171531677246,
25,3769,,0.10923133790493011
26,3799,0.12473104894161224,
26,3849,0.10402538627386093,
26,3899,0.1068892702460289,
26,3914,,0.10885054618120193
27,3949,0.11379892379045486,
27,3999,0.08912375569343567,
27,4049,0.12899897992610931,
27,4059,,0.10949498414993286
28,4099,0.11343741416931152,
28,4149,0.12056293338537216,
28,4199,0.1083209365606308,
